trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.9, 'e': 0.8229999999999998}",25,0,-119.54573124903504,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.8199999999999998}",30,0,-139.11882856724077,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 1}",0
61,False,"{'a': 0.9, 'e': 0.8169999999999998}",30,0,-30.25168705567489,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.9, 'e': 0.8139999999999998}",20,0,-68.47705710622999,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
63,False,"{'a': 0.9, 'e': 0.8109999999999998}",25,12,-54.87443394013611,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
64,False,"{'a': 0.9, 'e': 0.8079999999999998}",20,0,-97.87009409635913,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
65,False,"{'a': 0.9, 'e': 0.8049999999999998}",25,0,-102.01495647076285,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
66,False,"{'a': 0.9, 'e': 0.8019999999999998}",20,0,-52.03949287537929,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.9, 'e': 0.7989999999999998}",20,3,-99.59290576070805,"{0: 8, 1: 4, 2: 3, 3: 1, 4: 1}",1
68,False,"{'a': 0.9, 'e': 0.7959999999999998}",20,0,-16.873527821992525,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.9, 'e': 0.7929999999999998}",20,0,-50.08531538174934,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
70,False,"{'a': 0.9, 'e': 0.7899999999999998}",20,0,-119.21797976908971,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",1
71,False,"{'a': 0.9, 'e': 0.7869999999999998}",20,0,-76.42395857366068,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.9, 'e': 0.7839999999999998}",25,5,-37.60957779469381,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.9, 'e': 0.7809999999999998}",20,0,-64.6697392829456,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.9, 'e': 0.7779999999999998}",20,0,-88.37449206118892,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
75,False,"{'a': 0.9, 'e': 0.7749999999999998}",25,0,-155.14444375545474,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
